Agency,Initiative Category,Initiative Detailed,Budget 2021,Spent 2021,Budget 2022,Spent 2022,Department_clean,_Matched_Agency_clean
Administration for Child Services,,,,,,,,administration for child services
BOARD OF ELECTIONS,Covid Response - City Operations,Covid Related Leave,"$120,006 ","$120,006 ",,$0 ,board of elections,board of elections
Citywide,,,,,,,,citywide
Civilian Complaint Review Board,,,,,,,,civilian complaint review board
DEPARTMENT FOR THE AGING,Covid Response - City Operations,Indirect Rate,"$44,151 ",$0 ,,$0 ,department for the aging,department for the aging
DEPARTMENT OF BUILDINGS,Covid Response - Public Programs,Covid Inspections,,$0 ,,$0 ,department of buildings,department of buildings
DEPARTMENT OF BUILDINGS,Covid Response - City Operations,ARP Local Recovery Fed PS,"$927,774 ",$0 ,"$1,200,000 ","$1,107,657 ",department of buildings,department of buildings
Department of Citywide Administrative Services,,,,,,,,department of citywide administrative services
Department of Consumer Affairs,,,,,,,,department of consumer affairs
DEPARTMENT OF CORRECTION,Covid Response - City Operations,Covid-19 Revenue Replacement,"$676,233 ",$0 ,"$481,324,540 ",$0 ,department of correction,department of correction
DEPARTMENT OF CORRECTION,Covid Response - City Operations,COVID Response/Leave,$0 ,$0 ,"$52,000,000 ",$0 ,department of correction,department of correction
Department of Design and Construction,,,,,,,,department of design and construction
DEPARTMENT OF EDUCATION,Covid Response - Public Programs,ARPA For Charters,$0 ,$0 ,$0 ,$0 ,department of education,department of education
DEPARTMENT OF EMERGENCY MANAGEMENT,Covid Response - City Operations,Government Operations,$0 ,$0 ,"$611,236 ","$611,235 ",department of emergency management,department of emergency management
DEPARTMENT OF EMERGENCY MANAGEMENT,Covid Response - Public Programs,City Cleanup Corp,"$250,000 ","$232,098 ","$709,998 ","$709,998 ",department of emergency management,department of emergency management
DEPARTMENT OF EMERGENCY MANAGEMENT,Covid Response - City Operations,"ARPA Funding, PS","$8,528 ",$0 ,"$11,846 ","$11,846 ",department of emergency management,department of emergency management
Department of Environmental Protection,,,,,,,,department of environmental protection
Department of Finance,,,,,,,,department of finance
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Covid Response - City Operations,Prevention and Primary Care- PS,"$1,152 ",$0 ,,$0 ,department of health and mental hygiene,department of health and mental hygiene
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Covid Response - Public Programs,Disease Control,$874 ,$0 ,,$0 ,department of health and mental hygiene,department of health and mental hygiene
Department of Homeless Services,,,,,,,,department of homeless services
Department of Information Technology and Telecommunications,,,,,,,,department of information technology and telecommunications
Department of Parks and Recreation,,,,,,,,department of parks and recreation
DEPARTMENT OF PROBATION,Covid Response - Public Programs,City Clean Up Corps,"$35,000 ",$0 ,"$26,000 ","$26,000 ",department of probation,department of probation
DEPARTMENT OF PROBATION,Covid Response - Public Programs,City Clean Up Corps,"$112,167 ","$112,167 ","$1,031,833 ","$1,031,833 ",department of probation,department of probation
DEPARTMENT OF SANITATION,Covid Response - City Operations,Covid-Related Leaves and Comp Time,"$2,919,223 ","$2,919,222 ",,$0 ,department of sanitation,department of sanitation
Department of Small Business Services,,,,,,,,department of small business services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,Community Hubs,"$478,276 ","$280,000 ","$1,596,001 ","$1,596,000 ",department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,City Cleanup Corps,$0 ,"$800,000 ","$30,945,575 ","$28,723,442 ",department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,Emergency Food Assistance Program,$0 ,$0 ,"$32,045,000 ","$33,905,914 ",department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,Eviction Counsel Access,$0 ,$0 ,"$15,605,000 ","$14,729,615 ",department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - City Operations,Coronavirus Recovery PS,"$744,862 ",$0 ,"$1,188,477 ",$0 ,department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,Rental Assistance,"$160,700,000 ","$151,910,293 ","$185,122,335 ","$184,755,498 ",department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,Emergency Rental Assistance Outreach,$0 ,"$2,075,027 ","$41,771,013 ","$15,808,778 ",department of social services,department of social services
DEPARTMENT OF SOCIAL SERVICES,Covid Response - Public Programs,Emergency Housing Voucher Program,,"$2,832 ",,"$2,793,790 ",department of social services,department of social services
DEPARTMENT OF TRANSPORTATION,Covid Response - Public Programs,Cleanup Corps - OTPS,"$406,828 ","$406,000 ","$4,996,324 ","$4,946,380 ",department of transportation,department of transportation
DEPARTMENT OF TRANSPORTATION,Covid Response - Public Programs,Cleanup Corps-Highways,$0 ,$0 ,"$2,572,784 ","$1,326,817 ",department of transportation,department of transportation
DEPARTMENT OF TRANSPORTATION,Covid Response - City Operations,DOT Management & Administration,,$0 ,,$0 ,department of transportation,department of transportation
DEPARTMENT OF TRANSPORTATION,Covid Response - City Operations,Roadway Construction Coordination,"$124,047 ",$0 ,,$0 ,department of transportation,department of transportation
DEPARTMENT OF TRANSPORTATION,Covid Response - City Operations,Ferry Administration,"$6,765 ",$0 ,,$0 ,department of transportation,department of transportation
DEPARTMENT OF TRANSPORTATION,Covid Response - City Operations,Traffic Planning Safety & Administration,,$0 ,,$0 ,department of transportation,department of transportation
DEPARTMENT OF TRANSPORTATION,Covid Response - City Operations,Bridge Engineering,,$0 ,,$0 ,department of transportation,department of transportation
Department of Youth and Community Development,,,,,,,,department of youth and community development
District Attorney—Kings County,,,,,,,,district attorneykings county
District Attorney—New York,,,,,,,,district attorneynew york
Financial Information Services Agency,,,,,,,,financial information services agency
FIRE DEPARTMENT,Covid Response - City Operations,Covid-19 Revenue Replacement,"$21,542,899 ","$29,542,899 ","$510,702 ","$510,702 ",fire department,fire department
FIRE DEPARTMENT,Covid Response - Public Programs,EMS Mental Health Pilot,"$8,491,591 ","$491,591 ",,$0 ,fire department,fire department
Housing Preservation and Development,,,,,,,,housing preservation and development
MAYORALTY,Covid Response - City Operations,Covid Related Leave,"$25,717 ",$0 ,,$0 ,mayoralty,mayoralty
MAYORALTY,Covid Response - City Operations,Coronavirus -Leave Funding (OLR),"$39,994 ",$0 ,,$0 ,mayoralty,mayoralty
MAYORALTY,Covid Response - City Operations,Coronavirus -Leave Funding (OMB),"$68,617 ",$0 ,,$0 ,mayoralty,mayoralty
MISCELLANEOUS,Covid Response - Public Programs,Precision Empl. Init./City Clean. Corps/Ind. Cost Rate,"$3,928,021 ",$0 ,"$40,409,411 ","$40,409,411 ",miscellaneous,miscellaneous
MISCELLANEOUS,Covid Response - Public Programs,Clean Up Corps,,$0 ,,$0 ,miscellaneous,miscellaneous
OFFICE OF THE COMPTROLLER,Covid Response - City Operations,Other,"$62,445 ",$0 ,,$0 ,office of the comptroller,office of the comptroller
POLICE DEPARTMENT,Covid Response - City Operations,COVID Response/Leave,"$2,914,707 ",$0 ,"$566,500,000 ","$566,500,000 ",police department,police department
