Date,Citywide,Administration for Child Services,Department of Social Services,Board of Correction,Board of Elections,Business Integrity Commission,Civilian Complaint Review Board,Department for the Aging,Department of Buildings,Department of Citywide Administrative Services,Department of Consumer Affairs,Department of Correction,Department of Design and Construction,Department of Education,Department of Emergency Management,Department of Environmental Protection,Department of Finance,Department of Health and Mental Hygiene,Department of Homeless Services,Department of Information Technology and Telecommunications,Department of Parks and Recreation,Department of Probation,Department of Sanitation,Department of Small Business Services,Department of Transportation,Department of Veterans’ Services,Department of Youth and Community Development,District Attorney—Kings County,District Attorney—New York,District Attorney—Queens County,District Attorney—Richmond County,Equal Employment Practices Commission,Financial Information Services Agency,Fire Department,Housing Preservation and Development,Mayoralty,Miscellaneous,NYC Taxi and Limousine Commission,Office of Administrative Tax Appeals,Office of Administrative Trials and Hearings,Office of Special Narcotics,Office of the Actuary,Office of the Comptroller,Police Department,District Attorney Bronx County,Independent Budget Office,Law Department
2020 Apr 23 12:00:00 AM,"$38,916,405 ",$0 ,$0 ,$0 ,$0 ,$418 ,"$51,552 ",$0 ,$0 ,"$35,173,700 ",$0 ,$0 ,$0 ,"$38,914 ","$3,583,588 ","$56,975 ",$0 ,"$3,315 ",$0 ,$0 ,$0 ,$0 ,$484 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,750 ",$0 ,$0 ,$0 ,"$3,709 ",$0 ,$0 ,$0 
2020 Apr 24 12:00:00 AM,"$7,109,228 ","$25,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$37,985 ","$6,242,900 ",$0 ,$0 ,"$2,921 ","$30,403 ","$11,434 ","$20,306 ",$0 ,"$50,476 ","$20,000 ","$665,984 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,319 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 25 12:00:00 AM,"$500,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$500,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 27 12:00:00 AM,"$413,112 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,829 ",$0 ,$0 ,$0 ,"$11,555 ","$6,773 ","$19,938 ",$0 ,$0 ,$0 ,"$359,017 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Apr 28 12:00:00 AM,"$3,319,866 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,752,385 ",$0 ,$0 ,$0 ,"$47,091 ","$14,267 ","$23,700 ",$0 ,"$2,138 ",$0 ,"$80,400 ","$39,300 ",$0 ,$0 ,$0 ,"$74,340 ",$0 ,$0 ,$0 ,$0 ,"$63,301 ",$0 ,$0 ,$0 ,"$112,794 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$90,150 ",$0 ,$0 ,$0 
2020 Apr 29 12:00:00 AM,"$945,587 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$802,660 ",$0 ,$0 ,$0 ,"$49,695 ","$2,345 ","$21,360 ",$0 ,"$17,238 ",$0 ,"$19,999 ","$6,067 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$23,301 ","$1,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,672 ",$0 ,$0 ,$0 
2020 Apr 30 12:00:00 AM,"$3,545,347 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,957,170 ",$0 ,$0 ,$0 ,"$537,501 ","$20,752 ","$7,750 ",$0 ,"$927,915 ",$0 ,"$10,279 ","$19,999 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,592 ",$0 ,"$1,743 ",$0 ,$0 ,$0 ,"$59,646 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 01 12:00:00 AM,"$515,968 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$90,666 ",$0 ,$0 ,$0 ,"$101,690 ","$8,211 ","$7,729 ",$0 ,"$1,822 ",$0 ,"$176,160 ","$19,200 ",$0 ,"$7,465 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$99,933 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,092 ",$0 ,$0 ,$0 
2020 May 02 12:00:00 AM,"$33,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$33,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 04 12:00:00 AM,"$88,173 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$424 ,$0 ,"$47,090 ","$8,400 ",$0 ,$0 ,"$12,304 ",$0 ,$0 ,$0 ,$435 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,520 ",$0 ,$0 ,$0 
2020 May 05 12:00:00 AM,"$40,042,386 ",$0 ,"$188,040 ",$0 ,$0 ,$0 ,$0 ,"$37,990 ",$0 ,$0 ,$0 ,$0 ,$0 ,$107 ,"$2,429 ","$19,820 ",$0 ,"$686,651 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$39,000,000 ",$0 ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,"$2,000 ",$0 ,$0 ,"$100,349 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 06 12:00:00 AM,"$1,067,855 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$17,520 ",$0 ,$0 ,$0 ,"$7,094 ","$2,189 ","$100,000 ",$0 ,"$858,805 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$290 ,"$76,206 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,001 ",$0 ,$0 ,$0 ,"$4,750 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 07 12:00:00 AM,"$1,612,942 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,"$6,313 ",$687 ,$0 ,"$12,896 ",$0 ,$0 ,"$1,511,038 ",$0 ,"$13,750 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,572 ","$58,685 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 08 12:00:00 AM,"$2,349,857 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,805,250 ",$0 ,$0 ,$0 ,"$19,778 ","$9,615 ","$15,750 ",$0 ,"$499,464 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 11 12:00:00 AM,"$7,205,369 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$498,860 ",$0 ,$0 ,$0 ,"$85,477 ","$1,664 ","$19,998 ",$0 ,"$9,399 ",$0 ,$0 ,"$41,560 ",$0 ,$0 ,"$4,410,000 ",$0 ,$0 ,$0 ,$674 ,$0 ,$0 ,"$17,828 ",$0 ,$0 ,"$2,070,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$49,909 ",$0 ,$0 ,$0 
2020 May 12 12:00:00 AM,"$3,712,690 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$257,916 ",$0 ,$0 ,$0 ,"$28,252 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,844 ",$0 ,$778 ,"$3,083,750 ",$0 ,$0 ,$0 ,$0 ,"$322,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 13 12:00:00 AM,"$1,131,655 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,275 ",$0 ,$0 ,$0 ,"$993,991 ",$0 ,"$36,175 ",$0 ,"$3,331 ",$0 ,$0 ,"$19,950 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$14,400 ",$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$38,533 ",$0 ,$0 ,$0 
2020 May 14 12:00:00 AM,"$2,062,160 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$18,450 ",$0 ,$0 ,$0 ,$0 ,"$629,943 ","$1,244,500 ","$2,672 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$159,264 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,331 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 15 12:00:00 AM,"$100,482,890 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$64,620 ",$0 ,$0 ,"$100,000,000 ","$28,760 ","$51,791 ",$0 ,$0 ,"$217,000 ",$0 ,"$10,741 ",$0 ,$0 ,$0 ,"$43,268 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,710 ",$0 ,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 16 12:00:00 AM,"$278,623 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$278,623 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 18 12:00:00 AM,"$2,333,397 ",$0 ,"$89,995 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,027 ","$131,676 ",$0 ,$0 ,"$95,168 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,001,000 ",$0 ,$219 ,$0 ,$0 ,$0 ,$0 ,"$5,363 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$949 ,$0 ,$0 ,$0 
2020 May 19 12:00:00 AM,"$105,599 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,583 ",$0 ,"$16,026 ",$0 ,$0 ,"$3,690 ",$0 ,$0 ,$0 ,$0 ,"$55,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,800 ",$0 ,$0 ,$0 
2020 May 20 12:00:00 AM,"$1,488,228 ","$84,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,248,272 ",$0 ,$0 ,$0 ,"$6,227 ",$0 ,"$2,855 ",$0 ,"$4,679 ","$99,900 ",$0 ,"$23,550 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,009 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,630 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,306 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 21 12:00:00 AM,"$21,142,692 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,"$20,950,800 ",$0 ,$0 ,"$26,304 ","$56,634 ",$11 ,"$19,450 ","$10,990 ","$14,534 ",$0 ,"$30,049 ","$3,208 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,510 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$27,200 ",$0 ,$0 ,$0 
2020 May 22 12:00:00 AM,"$1,666,629 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$459,408 ",$558 ,"$2,406 ",$0 ,"$16,500 ","$99,870 ","$1,063,536 ",$0 ,"$15,142 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$334 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,875 ",$0 ,$0 ,$0 
2020 May 26 12:00:00 AM,"$47,493 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,737 ",$863 ,"$21,627 ",$0 ,"$11,859 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,407 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 27 12:00:00 AM,"$4,022,065 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$577,569 ",$0 ,$0 ,$0 ,"$308,159 ",$0 ,"$1,394 ","$8,809 ",$0 ,"$3,106,134 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$20,000 ",$0 ,$0 ,$0 
2020 May 28 12:00:00 AM,"$19,276,795 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$18,507,000 ",$0 ,$0 ,$0 ,"$40,529 ","$7,595 ","$1,042 ",$0 ,$0 ,$0 ,"$658,264 ",$0 ,"$51,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,863 ",$0 ,"$4,102 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 29 12:00:00 AM,"$2,204,115 ",$0 ,"$19,471 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,024,081 ","$19,974 ",$0 ,"$15,800 ","$76,792 ","$5,463 ","$3,923 ","$5,890 ","$20,221 ",$0 ,$0 ,"$12,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 May 31 12:00:00 AM,"$13,535,780 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$13,535,780 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 01 12:00:00 AM,"$112,821 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$27,080 ",$558 ,$810 ,$0 ,"$17,642 ",$0 ,$0 ,"$28,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$23,108 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,123 ",$0 ,$0 ,$0 
2020 Jun 02 12:00:00 AM,"$7,696,941 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,250,000 ",$0 ,$0 ,$0 ,"$411,224 ",$0 ,$0 ,$0 ,"$2,235 ",$0 ,$0 ,$0 ,"$15,100 ",$0 ,"$18,382 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 03 12:00:00 AM,"$236,654 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$26,804 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$173,538 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$36,312 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 04 12:00:00 AM,"$3,653,544 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$13,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$429,040 ",$26 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,208 ",$0 ,$0 ,"$3,207,000 ",$0 ,$0 ,$0 ,$0 ,"$1,770 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 05 12:00:00 AM,"$3,063,034 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,865,000 ",$0 ,$0 ,$0 ,"$39,358 ",$0 ,"$16,995 ","$48,495 ","$65,750 ",$0 ,$0 ,$0 ,"$11,938 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$498 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$15,000 ",$0 ,$0 ,$0 
2020 Jun 06 12:00:00 AM,"$32,127 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$31,820 ",$0 ,$0 ,$0 ,$307 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 08 12:00:00 AM,"$528,227 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,070 ","$1,681 ",$0 ,$0 ,"$499,840 ","$10,553 ","$10,553 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$530 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 09 12:00:00 AM,"$166,131 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,916 ","$49,950 ",$0 ,"$93,249 ","$2,620 ",$0 ,$0 ,"$1,155 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,441 ",$0 ,$0 ,$0 ,$0 ,"$5,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 10 12:00:00 AM,"$2,726,431 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,272,500 ",$0 ,$0 ,$0 ,"$194,020 ",$623 ,$0 ,$589 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,685 ",$0 ,$0 ,"$99,999 ",$0 ,"$1,180 ",$0 ,$0 ,$0 ,$0 ,"$150,835 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 11 12:00:00 AM,"$1,272,062 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$29,120 ",$450 ,$0 ,$0 ,"$1,238,448 ","$1,654 ",$0 ,$0 ,$24 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,366 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 12 12:00:00 AM,"$8,395,286 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$135,413 ",$473 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$60,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$8,199,000 ",$0 ,$0 ,$0 
2020 Jun 13 12:00:00 AM,"$2,100,676 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,102,500 ",$0 ,$0 ,$0 ,"$998,176 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 15 12:00:00 AM,"$5,122,943 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,900,000 ","$9,888 ",$0 ,"$1,700 ","$1,120,656 ",$558 ,"$4,639 ",$0 ,"$6,703 ",$0 ,$0 ,$0 ,"$13,732 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$19,540 ","$5,527 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$40,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
2020 Jun 16 12:00:00 AM,"$5,799,066 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$337,278 ","$2,335,051 ",$0 ,$0 ,"$32,196 ",$0 ,"$3,020,740 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,588 ",$0 ,"$63,160 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,053 ",$0 ,$0 ,$0 
